"","species","lat","long"
"46","ivfr phau",-76.5498730932386,38.8753780056583
"47","ivfr phau",-76.5498706117249,38.8755619859465
"48","phau",-76.5498619776146,38.8757434527793
"49","tyla",-76.5495436328793,38.8730332963803
"50","scam",-76.5495948989193,38.8732209066423
"51","scam",-76.5495933375136,38.8734000539781
"52","scam",-76.5495917368294,38.8735837613182
"53","scam",-76.5495928599459,38.8739751415015
"54","c4 scam",-76.5496024889614,38.8741218003732
"55","c4",-76.5496113042811,38.8743037024434
"56","scam",-76.5496116545981,38.8744832929396
"57","c4",-76.5496191279004,38.8746633745974
"58","c4",-76.5496199523966,38.8748451574357
"59","ivfr",-76.5496247485918,38.8750272299669
"60","ivfr phau",-76.5496274208826,38.8752038610998
"61","phau",-76.5496331212678,38.8753851016325
"62","phau",-76.5496392284588,38.8755638407565
"63","phau",-76.5496418075657,38.8757425456042
"64","ivfr",-76.5496436724426,38.8759223322166
"65","phau",-76.5496479090927,38.8761051690521
"66","phau",-76.5496504099861,38.8762845146918
"67","phau",-76.5496253174065,38.876467200142
"68","scam",-76.5493563986251,38.8730406469619
"69","scam",-76.5493550729155,38.8732248372504
"70","scam",-76.549361250747,38.8734042243004
"71","scam",-76.5493658854942,38.8735858034354
"72","scam",-76.549369152474,38.8737675629103
"73","scam",-76.5493715364938,38.8739505956151
"74","scam",-76.5493769942785,38.8743048927025
"75","scam",-76.5493781774107,38.8744894191058
"76","c4",-76.5493883365286,38.8746684649374
"77","c4",-76.5493909943933,38.8748471147107
"78","ivfr",-76.5493961278427,38.8750272274268
"79","scam",-76.5493985916418,38.8752064925022
"80","c4",-76.5494006308962,38.8753874392231
"81","phau",-76.5494066475213,38.8755678736039
"82","c4",-76.5494112828673,38.8757483983961
"83","scam",-76.5494130569464,38.8759288079693
"84","c4 scam",-76.5494189613498,38.8761083157058
"85","c4",-76.5494215804695,38.87628888526
"86","c4",-76.5494226668801,38.8764689435095
"87","phau",-76.5494304906423,38.8766476508257
"88","scam",-76.5491221077257,38.8730462427303
"89","scam",-76.5491253275118,38.8732274531968
"90","scam",-76.5491300555016,38.8734064540114
"91","scam",-76.5491272628001,38.8735910602321
"92","scam",-76.549138781183,38.873766916264
"93","scam",-76.5491385418152,38.8739417028179
"94","c4",-76.5491487787249,38.8743096420104
"95","c4",-76.5491517895199,38.8744897108345
"96","c4",-76.5491570666436,38.874669569366
"97","scam",-76.5491623151054,38.8748496985975
"98","c4",-76.5491629188629,38.8750298624189
"99","c4 scam",-76.5491681106096,38.8752116233548
"100","c4 scam",-76.5491715609779,38.8753896318471
"101","c4 scam",-76.5491762082421,38.8755713711617
"102","c4 scam",-76.549181122676,38.8757508668301
"103","ivfr scam",-76.5491827644833,38.8759299896155
"104","ivfr",-76.5491882415922,38.8761116115746
"105","c4 ivfr scam",-76.5491916619127,38.8762914135964
"106","c4",-76.5491950338561,38.8764721714041
"107","c4",-76.5491972906504,38.8766509435961
"108","scam",-76.5488914496916,38.8727981164576
"109","scam",-76.5488862790563,38.8728694968983
"110","scam",-76.5488910634528,38.8730495332364
"111","scam",-76.5488943257996,38.8732300763462
"112","scam",-76.5488985376058,38.8734102824646
"113","scam",-76.5489016335727,38.8735895302088
"114","scam",-76.5488937694983,38.8737619759815
"115","c4",-76.5489089467896,38.8739502905504
"116","scam",-76.5489184518695,38.8743127158314
"117","ivfr",-76.5489225128487,38.8744907432933
"118","ivfr",-76.5489263745559,38.8746728643171
"119","scam",-76.5489297971552,38.8748528105363
"120","c4",-76.5489327914593,38.8750332039635
"121","ivfr",-76.5489375265044,38.8752136013243
"122","c4",-76.548941934598,38.8753932731388
"123","c4 scam",-76.5489452129955,38.8755734735531
"124","ivfr",-76.5489507784901,38.8757544185524
"125","c4",-76.5489523361169,38.8759334072992
"126","ivfr phau",-76.5489580498752,38.8761121516749
"127","phau",-76.5489620103207,38.8762934964068
"128","phau",-76.5489664769043,38.8764753210038
"129","scam",-76.5486553872995,38.8728734156699
"130","c4 scam",-76.5486600647141,38.8730554538488
"131","scam",-76.5486660921228,38.8732343653734
"132","scam",-76.548668649584,38.873413791482
"133","scam",-76.5486700422363,38.873594782901
"134","scam",-76.5486735593521,38.8737743404436
"135","c4 scam",-76.5486791816534,38.8739542304911
"136","c4 scam",-76.5486841932614,38.8741351919133
"137","c4 scam",-76.5486874550179,38.8743151943582
"138","phau",-76.5486928520358,38.8744947900194
"139","phau",-76.5486972043176,38.8746740481098
"140","c4",-76.5486982911384,38.8748563411098
"141","",-76.5487017387768,38.8750364041434
"142","c4 ivfr",-76.548706937887,38.8752159032885
"143","c4",-76.5487114993328,38.8753962939492
"144","c4",-76.5487157373476,38.8755761212113
"145","c4",-76.5487193615481,38.8757579389957
"146","c4",-76.5487219049616,38.8759361667735
"147","phau",-76.5487278150454,38.8761154852543
"148","phau",-76.5487305283397,38.876296756433
"149","c4",-76.5484263041245,38.8728772829671
"150","scam",-76.5484278679832,38.8730582270842
"151","scam",-76.5484345708085,38.8732374810907
"152","scam",-76.5484368894156,38.8734176132222
"153","scam",-76.5484402740879,38.8735974698956
"154","scam",-76.5484451668645,38.8737782977561
"155","ivfr",-76.5484493561542,38.8739596395482
"156","c4 scam",-76.5484535899328,38.8741371871785
"157","scam",-76.5484553244957,38.8743174892242
"158","phau",-76.5484616815526,38.8744988563154
"159","ivfr",-76.5484632490787,38.8746746461322
"160","ivfr",-76.5484687546539,38.8748576734896
"161","c4",-76.5484729124964,38.8750380875489
"162","c4 ivfr",-76.5484775190175,38.8752179279688
"163","",-76.548479997749,38.8753985174708
"164","c4 ivfr",-76.5484853946375,38.8755791854059
"165","c4",-76.5484882037083,38.8757590586593
"166","c4",-76.5484923789354,38.8759402654149
"167","phau",-76.5484977154006,38.8761213306118
"168","c4",-76.5481952511243,38.8728796170577
"169","c4",-76.5481998261579,38.8730596472018
"170","scam",-76.5482027174037,38.8732396365915
"171","scam",-76.5482074233755,38.8734198542162
"172","c4",-76.5482110238796,38.8735995908974
"173","c4",-76.548212742161,38.8737807672347
"174","c4 ivfr",-76.5482193623729,38.8739615451649
"175","ivfr",-76.54822258503,38.8741408633304
"176","c4 scam",-76.5482278011602,38.8743206776856
"177","c4 ivfr",-76.5482303566724,38.874500058752
"178","ivfr",-76.548234726775,38.8746812539634
"179","ivfr",-76.5482360823231,38.874862173764
"180","ivfr",-76.548243251421,38.8750416738529
"181","c4",-76.5482471200131,38.8752210014424
"182","c4",-76.5482503530989,38.8754023829153
"183","c4 ivfr",-76.5482527400625,38.8755830186921
"184","phau",-76.5482583383548,38.8757629000223
"185","ivfr phau",-76.5482628161242,38.8759432016939
"186","c4",-76.5479705921321,38.8730634975873
"187","c4",-76.5479713321631,38.8732431821062
"188","scam",-76.5479758055209,38.8734238623816
"189","scam",-76.5479805982589,38.8736043852327
"190","scam",-76.5479838363043,38.8737849737448
"191","c4",-76.5479877581714,38.8739641384824
"192","ivfr",-76.5479914738171,38.8741433600137
"193","phau",-76.5479954399259,38.8743245606052
"194","ivfr",-76.5479991224284,38.8745033140012
"195","phau",-76.5480042515538,38.8746849857476
"196","ivfr phau",-76.5480067692476,38.8748647728019
"197","c4",-76.5480114720293,38.8750443236305
"198","c4",-76.5480161016342,38.8752258127554
"199","ivfr",-76.5480203751639,38.8754047024617
"200","phau",-76.5480235279809,38.8755845351387
"201","phau",-76.5480271869286,38.8757653793252
"202","phau",-76.548031395926,38.8759088842867
"203","scam",-76.5477389339774,38.8730655955089
"204","scam",-76.5477431529983,38.8732457385233
"205","c4",-76.5477456327679,38.8734270039113
"206","c4",-76.5477500071262,38.8736063338793
"207","c4",-76.5477537108156,38.8737871595222
"208","c4",-76.547757939535,38.8739661489978
"209","c4",-76.5477608565464,38.8741468408847
"210","ivfr",-76.5477654179825,38.8743273487719
"211","phau",-76.5477686653362,38.874507324412
"212","",-76.5477751041039,38.8746904115359
"213","c4",-76.5477779409215,38.8748668693667
"214","c4",-76.5477817739631,38.8750478013868
"215","ivfr",-76.5477855359214,38.8752270493157
"216","phau",-76.5477890307377,38.8754083282208
"217","phau",-76.5477935889148,38.8755886739176
"218","phau",-76.547798274077,38.8757679636566
"219","c4",-76.5475147724599,38.873429802677
"220","c4 scam",-76.5475195011385,38.8736100831114
"221","c4",-76.5475230227777,38.8737889197813
"222","scam",-76.5475306040883,38.8741496046078
"223","c4",-76.5475342719429,38.8743303946774
"224","phau",-76.5475436148658,38.8746915066642
"225","ivfr",-76.5475475256071,38.8748717979015
"226","c4 ivfr",-76.547551027568,38.875051310608
"227","phau",-76.547554242629,38.8752303495371
"228","ivfr",-76.547557808142,38.8754106633557
"229","phau",-76.5475633159847,38.8755912397709
"230","tyla",-76.5472781645168,38.8730724234329
"231","ivfr",-76.5472810190637,38.873252422359
"232","ivfr spcy",-76.5472854832492,38.8734322287425
"233","ivfr",-76.5472879155832,38.8736124224809
"234","c4 ivfr",-76.5472928230199,38.8737929979123
"235","phau",-76.5472966689389,38.8739735243298
"236","phau",-76.5473011889327,38.8741527082034
"237","phau",-76.5473073082246,38.8745129979076
"238","c4",-76.5473134409013,38.8746937192692
"239","c4",-76.5473157486488,38.8748745363695
"240","c4",-76.5473211725783,38.8750539335075
"241","phau",-76.547324668136,38.875233707619
"242","phau",-76.5473277176135,38.8754141724612
"243","c4",-76.5473327185937,38.8755942600122
"244","tyla",-76.5470485202301,38.8731285944329
"245","c4 ivfr",-76.5470505297876,38.873255296383
